artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
16564,"Branch of the Seine near Giverny (Mist)",10571,838d8c33-a3b4-68ea-587b-87ceec2011af,1
75644,"Coronation Stone of Motecuhzoma II (Stone of the Five Suns)",380811,ea8c5d62-6ce8-88e8-feb1-e0053cf534c5,1
15243,"The Tragic Actor (Rouvière in the role of Hamlet)",313429,8840b41b-2425-c8aa-23fd-db834df457e0,1
64339,"Coffin and Mummy of Paankhenamun",369497,acdc7211-6ad4-d51c-6be2-95d6a7d354ce,1
109314,"Fishing in Spring, the Pont de Clichy (Asnières)",385413,92827fc4-78a3-a263-75a2-6470eabad38b,1
43732,"E-15: English Drawing Room of the Modern Period, 1930s",366353,40724c6b-da7a-056f-210b-8d9ddff252e7,
100472,"Untitled (Purple, White, and Red)",380712,4d152c81-8389-e426-e5f2-e98902d2515a,
14977,"Lady in Red",331407,5572e97b-ed6f-db82-7ba2-b0ea2a08ce36,
43751,"E-21: French Boudoir of the Louis XV Period, 1740-60",366799,85c7a1dd-f509-270c-a259-b46de292d171,1
65819,"Mae West's Face which May be Used as a Surrealist Apartment",365811,ebbb8f9b-8b33-0c8d-9aaf-ce47d4eef6c8,
8424,"Tetuan, Morocco",308196,d0f301be-3bf3-c34b-6bd4-ac980cdc82ef,
581,Fan,174905,e71a6cfa-1d27-3810-d976-b5b17638974e,1
118577,"Red Hills with Flowers",385203,dc49268e-ecd0-6603-67f7-aad81769bda2,
561,"The Family Concert",366771,87433360-2578-5b1b-c0b7-67921dc226fa,1
15135,Coverlet,186380,e1d733db-43bd-f8d7-8c15-b12b00d2db48,1
4537,"The Burning City, San Francisco Earthquake and Fire",350934,bf8ccf5c-ff2e-8d73-935f-1df9fcf5b92f,
16549,"Apples and Grapes",10533,c12058f4-188f-c6ed-f0fe-52b32acfb296,1
4370,"Allegory of Carnal Love",296818,181e46ea-c044-ec47-bee4-0901a803da01,1
100089,Chicago,239931,4e15cfbc-39f8-f7ea-fb49-a1652df7ea9e,
151358,"Male Figure (Nkisi Nkondi)",11308,c3f36398-eee0-77a9-17f4-204f3252f6f9,1
71396,"Hang Up",241260,3269a9a2-55b2-0cab-3cac-0540f395f91d,
27984,"Woman before an Aquarium",408863,d0e36029-27fc-bf4e-357a-55cfbaf7bdfd,
109330,"Little Harbor in Normandy",407452,f521e7ef-2732-88b0-30e1-24353308c297,
14435,"Portrait of Picasso",12796,fb424aff-7bcc-0191-c2c1-dd5be947cc6b,
217201,"Cotton Pickers",407150,76dafabb-b0bc-2e0c-4dfd-05c85aaa1af7,
188727,"Rodney Plogger at 6:01",388017,42acbefc-e734-6bd6-c3e4-38c35418cd80,
16554,"The Artist's House at Argenteuil",10482,7d533ed4-ff54-fa2c-64f4-2b16bfbb5880,1
229351,Target,226769,332d36a2-0803-8487-0ab3-fcf6c2ee8c53,
21720,"Cranes on snow-covered pine",209510,cc5fce96-3635-35da-e7fd-a68f4b2a26c3,1
4533,Coverlet,188617,06b962fc-89fc-1344-ed1d-aac4296a6449,1
895,"Man with Lance Riding through the Snow",366880,fa96ef54-c3b1-8f4d-390a-219f7bc64c4a,1
61616,"Oil Sketch for ""La Grande Jatte""",366997,d6c806d3-5a81-22c5-11fb-04100ed93838,1
14496,"Primordial Pool",351780,0bc4b948-3d08-1d84-b8ce-1704688404da,
10926,"Mishima: Morning Mist (Mishima, asagiri), from the series ""Fifty-three Stations of the Tokaido Road (Tokaido gojusan tsugi no uchi),"" also known as the Hoeido Tokaido",203447,c047003a-949c-a581-7c5a-2c415e8cac75,1
70039,"White Shell with Red",381930,26e287ce-fc2a-7fc8-25c8-96540772c8cb,
109260,"Man with a Pipe",409256,43bc66e2-95b2-fb3c-b9b1-232835bfd027,
45345,"A11: Rhode Island Parlor, c. 1820",365045,c3d34448-bd33-e09a-fecf-b54d896decf0,1
